"","Accession.Number","Bimp","GeneID","Locus","Protein.Name"
"10419","XP_012245296.1","BIMP18046",100746867,"LOC100746867","40S ribosomal protein S14a"
"10420","XP_012245300.1","BIMP11180",100748750,"LOC100748750","hexosaminidase D isoform X2"
"10421","XP_012245302.1","BIMP18048",100748661,"LOC100748661","ubiquitin-conjugating enzyme E2-17 kDa isoform X2"
"10422","XP_012245304.1","BIMP18048",100748661,"LOC100748661","ubiquitin-conjugating enzyme E2-17 kDa isoform X4"
"10423","XP_012245307.1","BIMP15184",105681234,"LOC105681234","uncharacterized protein LOC105681234"
"10424","XP_012245317.1","BIMP18566",100741233,"LOC100741233","protocadherin-like wing polarity protein stan"
"10425","XP_012245318.1","BIMP18523",100742442,"LOC100742442","fatty acid synthase"
"10426","XP_012245320.1","BIMP18524",100742679,"LOC100742679","serine/threonine-protein kinase ICK isoform X1"
"10427","XP_012245322.1","BIMP18524",100742679,"LOC100742679","serine/threonine-protein kinase ICK isoform X1"
"10428","XP_012245328.1","BIMP18525",100742227,"LOC100742227","WW domain-binding protein 2 isoform X1"
"10429","XP_012245329.1","BIMP18526",100741871,"LOC100741871","upstream stimulatory factor 2 isoform X2"
"10430","XP_012245332.1","BIMP11115",100747711,"LOC100747711","coiled-coil domain-containing protein 130 homolog"
"10431","XP_012245333.1","BIMP18575",100743601,"LOC100743601","spectrin beta chain isoform X4"
"10432","XP_012245334.1","BIMP18575",100743601,"LOC100743601","spectrin beta chain isoform X6"
"10433","XP_012245336.1","BIMP18558",100740188,"LOC100740188","uncharacterized protein LOC100740188 isoform X1"
"10434","XP_012245337.1","BIMP18558",100740188,"LOC100740188","uncharacterized protein LOC100740188 isoform X1"
"10435","XP_012245338.1","BIMP18558",100740188,"LOC100740188","uncharacterized protein LOC100740188 isoform X1"
"10436","XP_012245339.1","BIMP18558",100740188,"LOC100740188","uncharacterized protein LOC100740188 isoform X4"
"10437","XP_012245340.1","BIMP18559",100740428,"LOC100740428","probable beta-hexosaminidase fdl isoform X1"
"10438","XP_012245341.1","BIMP18559",100740428,"LOC100740428","probable beta-hexosaminidase fdl isoform X4"
"10439","XP_012245342.1","BIMP11158",100747587,"LOC100747587","ragulator complex protein LAMTOR4 homolog"
"10440","XP_012245346.1","BIMP18531",100740633,"LOC100740633","uncharacterized protein LOC100740633 isoform X1"
"10441","XP_012245347.1","BIMP18531",100740633,"LOC100740633","uncharacterized protein LOC100740633 isoform X1"
"10442","XP_012245349.1","BIMP18531",100740633,"LOC100740633","uncharacterized protein LOC100740633 isoform X2"
"10443","XP_012245350.1","BIMP18544",100749371,"LOC100749371","glutaminase liver isoform, mitochondrial isoform X1"
"10444","XP_012245351.1","BIMP11158",100747587,"LOC100747587","ragulator complex protein LAMTOR4 homolog"
"10445","XP_012245352.1","BIMP18544",100749371,"LOC100749371","glutaminase liver isoform, mitochondrial isoform X3"
"10446","XP_012245353.1","BIMP18544",100749371,"LOC100749371","glutaminase liver isoform, mitochondrial isoform X4"
"10447","XP_012245354.1","BIMP18544",100749371,"LOC100749371","glutaminase kidney isoform, mitochondrial isoform X5"
"10448","XP_012245356.1","BIMP18547",100744980,"LOC100744980","aldehyde dehydrogenase, dimeric NADP-preferring isoform X1"
"10449","XP_012245357.1","BIMP18547",100744980,"LOC100744980","aldehyde dehydrogenase, dimeric NADP-preferring isoform X2"
"10450","XP_012245358.1","BIMP18547",100744980,"LOC100744980","aldehyde dehydrogenase, dimeric NADP-preferring isoform X3"
"10451","XP_012245359.1","BIMP18547",100744980,"LOC100744980","aldehyde dehydrogenase, dimeric NADP-preferring isoform X4"
"10452","XP_012245361.1","BIMP18547",100744980,"LOC100744980","aldehyde dehydrogenase, dimeric NADP-preferring isoform X7"
"10453","XP_012245362.1","BIMP18547",100744980,"LOC100744980","aldehyde dehydrogenase, dimeric NADP-preferring isoform X7"
"10454","XP_012245364.1","BIMP11123",100746288,"LOC100746288","uncharacterized protein LOC100746288"
"10455","XP_012245365.1","BIMP18545",100749690,"LOC100749690","neuralized-like protein 2"
"10456","XP_012245367.1","BIMP18535",100745104,"LOC100745104","COP9 signalosome complex subunit 1"
"10457","XP_012245368.1","BIMP18535",100745104,"LOC100745104","COP9 signalosome complex subunit 1"
"10458","XP_012245369.1","BIMP18551",100750048,"LOC100750048","transcription factor AP-1"
"10459","XP_012245370.1","BIMP18557",105681241,"LOC105681241","transmembrane protein adipocyte-associated 1 homolog isoform X1"
"10460","XP_012245371.1","BIMP18557",105681241,"LOC105681241","transmembrane protein adipocyte-associated 1 homolog isoform X2"
"10461","XP_012245374.1","BIMP18550",100745345,"LOC100745345","uncharacterized protein MAL13P1.304"
"10462","XP_012245376.1","BIMP18534",100749927,"LOC100749927","multiple coagulation factor deficiency protein 2 homolog"
"10463","XP_012245377.1","BIMP18534",100749927,"LOC100749927","multiple coagulation factor deficiency protein 2 homolog"
"10464","XP_012245378.1","BIMP18542",100744623,"LOC100744623","sodium/potassium-transporting ATPase subunit beta-1-interacting protein isoform X1"
"10465","XP_012245379.1","BIMP18542",100744623,"LOC100744623","sodium/potassium-transporting ATPase subunit beta-1-interacting protein isoform X2"
"10466","XP_012245380.1","BIMP18542",100744623,"LOC100744623","sodium/potassium-transporting ATPase subunit beta-1-interacting protein isoform X7"
"10467","XP_012245383.1","BIMP18573",100743116,"LOC100743116","COP9 signalosome complex subunit 3"
"10468","XP_012245385.1","BIMP18539",100749137,"LOC100749137","zinc finger CCCH domain-containing protein 14 isoform X1"
"10469","XP_012245386.1","BIMP18539",100749137,"LOC100749137","zinc finger CCCH domain-containing protein 14 isoform X2"
"10470","XP_012245387.1","BIMP18530",100740876,"LOC100740876","protein KRI1 homolog"
"10471","XP_012245388.1","BIMP18541",100749258,"LOC100749258","short-chain dehydrogenase/reductase family 16C member 6-like isoform X1"
"10472","XP_012245389.1","BIMP18541",100749258,"LOC100749258","retinol dehydrogenase 10-A-like isoform X2"
"10473","XP_012245390.1","BIMP18541",100749258,"LOC100749258","retinol dehydrogenase 10-A-like isoform X3"
"10474","XP_012245392.1","BIMP18541",100749258,"LOC100749258","retinol dehydrogenase 10-A-like isoform X3"
"10475","XP_012245395.1","BIMP18518",100744144,"LOC100744144","uncharacterized protein LOC100744144 isoform X1"
"10476","XP_012245396.1","BIMP18518",100744144,"LOC100744144","uncharacterized protein LOC100744144 isoform X2"
"10477","XP_012245415.1","BIMP23283",100747497,"LOC100747497","molybdenum cofactor sulfurase isoform X2"
"10478","XP_012245418.1","BIMP23277",100746899,"LOC100746899","arginine/serine-rich protein PNISR isoform X2"
"10479","XP_012245421.1","BIMP10407",105681248,"LOC105681248","uncharacterized protein LOC105681248"
"10480","XP_012245424.1","BIMP10412",100750166,"LOC100750166","putative cyclin-dependent serine/threonine-protein kinase DDB_G0272797/DDB_G0274007"
"10481","XP_012245427.1","BIMP10418",100748940,"LOC100748940","uncharacterized protein LOC100748940 isoform X1"
"10482","XP_012245428.1","BIMP10418",100748940,"LOC100748940","uncharacterized protein LOC100748940 isoform X2"
"10483","XP_012245429.1","BIMP10404",100749810,"LOC100749810","titin"
"10484","XP_012245430.1","BIMP10419",100740788,"LOC100740788","uncharacterized protein LOC100740788 isoform X1"
"10485","XP_012245432.1","BIMP17111",100740081,"LOC100740081","uncharacterized protein LOC100740081"
"10486","XP_012245434.1","BIMP10419",100740788,"LOC100740788","uncharacterized protein LOC100740788 isoform X1"
"10487","XP_012245436.1","BIMP10419",105681250,"LOC105681250","uncharacterized protein LOC105681250"
"10488","XP_012245438.1","BIMP10394",105681251,"LOC105681251","uncharacterized protein LOC105681251"
"10489","XP_012245439.1","BIMP10401",100740429,"LOC100740429","ubiquitin-conjugating enzyme E2-17 kDa"
"10490","XP_012245440.1","BIMP17133",105681252,"LOC105681252","G-patch domain and KOW motifs-containing protein isoform X1"
"10491","XP_012245441.1","BIMP10397",100740306,"LOC100740306","uncharacterized serine-rich protein C215.13"
"10492","XP_012245442.1","BIMP10417",100740550,"LOC100740550","mediator of RNA polymerase II transcription subunit 12-like isoform X1"
"10493","XP_012245443.1","BIMP10396",100749061,"LOC100749061","sialin isoform X1"
"10494","XP_012245444.1","BIMP10396",100749061,"LOC100749061","sialin isoform X2"
"10495","XP_012245446.1","BIMP10398",100748584,"LOC100748584","nuclear receptor subfamily 2 group E member 1"
"10496","XP_012245447.1","BIMP10398",100748584,"LOC100748584","nuclear receptor subfamily 2 group E member 1"
"10497","XP_012245455.1","BIMP15149",100741476,"LOC100741476","DNA-directed RNA polymerase III subunit RPC2 isoform X2"
"10498","XP_012245456.1","BIMP15148",100741918,"LOC100741918","2-oxoglutarate dehydrogenase, mitochondrial isoform X1"
"10499","XP_012245458.1","BIMP15148",100741918,"LOC100741918","2-oxoglutarate dehydrogenase, mitochondrial isoform X4"
"10500","XP_012245460.1","BIMP17112",105681254,"LOC105681254","uncharacterized protein LOC105681254"
"10501","XP_012245462.1","BIMP15148",100741918,"LOC100741918","2-oxoglutarate dehydrogenase, mitochondrial isoform X7"
"10502","XP_012245463.1","BIMP15158",100741711,"LOC100741711","PDZ and LIM domain protein 3 isoform X2"
"10503","XP_012245464.1","BIMP15158",100741711,"LOC100741711","PDZ and LIM domain protein 3 isoform X3"
"10504","XP_012245465.1","BIMP15158",100741711,"LOC100741711","PDZ and LIM domain protein 3 isoform X4"
"10505","XP_012245466.1","BIMP15158",100741711,"LOC100741711","PDZ and LIM domain protein 3 isoform X5"
"10506","XP_012245467.1","BIMP15157",100741711,"LOC100741711","PDZ and LIM domain protein 3 isoform X6"
"10507","XP_012245469.1","BIMP15157",100741711,"LOC100741711","PDZ and LIM domain protein 3 isoform X8"
"10508","XP_012245471.1","BIMP17133",100740204,"LOC100740204","omega-amidase NIT2 isoform X1"
"10509","XP_012245475.1","BIMP15150",100741031,"LOC100741031","zinc finger protein 148 isoform X3"
"10510","XP_012245477.1","BIMP15150",100741031,"LOC100741031","zinc finger protein 148 isoform X3"
"10511","XP_012245478.1","BIMP23308",105681256,"LOC105681256","uncharacterized protein LOC105681256"
"10512","XP_012245480.1","BIMP17125",100749583,"LOC100749583","MOB kinase activator-like 2 isoform X1"
"10513","XP_012245481.1","BIMP24670",100743563,"LOC100743563","SET domain-containing protein SmydA-8-like isoform X1"
"10514","XP_012245481.1","BIMP24668",100743563,"LOC100743563","SET domain-containing protein SmydA-8-like isoform X1"
"10515","XP_012245483.1","BIMP18516",100744030,"LOC100744030","ankycorbin isoform X1"
"10516","XP_012245488.1","BIMP21761",100745149,"LOC100745149","DENN domain-containing protein Crag isoform X2"
"10517","XP_012245498.1","BIMP21766",100744703,"LOC100744703","protein stunted isoform X1"
"10518","XP_012245499.1","BIMP21770",100745270,"LOC100745270","palmitoyl-protein thioesterase 1"
"10519","XP_012245500.1","BIMP21770",100745270,"LOC100745270","palmitoyl-protein thioesterase 1"
"10520","XP_012245503.1","BIMP13750",100745753,"LOC100745753","12 kDa FK506-binding protein"
"10521","XP_012245504.1","BIMP13756",100746068,"LOC100746068","E3 ubiquitin-protein ligase MARCH5"
"10522","XP_012245505.1","BIMP13756",100746068,"LOC100746068","E3 ubiquitin-protein ligase MARCH5"
"10523","XP_012245506.1","BIMP13748",100746274,"LOC100746274","2-aminoethanethiol dioxygenase"
"10524","XP_012245507.1","BIMP13748",100746274,"LOC100746274","2-aminoethanethiol dioxygenase"
"10525","XP_012245508.1","BIMP13757",100746393,"LOC100746393","uncharacterized protein C2orf42"
"10526","XP_012245509.1","BIMP13757",100746393,"LOC100746393","uncharacterized protein C2orf42"
"10527","XP_012245511.1","BIMP13752",100745388,"LOC100745388","lipase member H-A-like"
"10528","XP_012245513.1","BIMP10343",100746749,"LOC100746749","myc box-dependent-interacting protein 1 isoform X1"
"10529","XP_012245514.1","BIMP10342",105681269,"LOC105681269","major surface trophozoite antigen 11-like"
"10530","XP_012245517.1","BIMP12529",100746868,"LOC100746868","acyl-CoA Delta(11) desaturase isoform X1"
"10531","XP_012245518.1","BIMP12529",100746868,"LOC100746868","acyl-CoA Delta(11) desaturase isoform X2"
"10532","XP_012245519.1","BIMP12528",100749772,"LOC100749772","acyl-CoA Delta(11) desaturase isoform X1"
"10533","XP_012245520.1","BIMP12530",100747108,"LOC100747108","(11Z)-hexadec-11-enoyl-CoA conjugase isoform X1"
"10534","XP_012245528.1","BIMP12527",100746987,"LOC100746987","acyl-CoA Delta(11) desaturase"
"10535","XP_012245529.1","BIMP12527",100746987,"LOC100746987","acyl-CoA Delta(11) desaturase"
"10536","XP_012245531.1","BIMP12514",100740271,"LOC100740271","uncharacterized protein LOC100740271 isoform X1"
"10537","XP_012245532.1","BIMP12514",100740271,"LOC100740271","uncharacterized protein LOC100740271 isoform X2"
"10538","XP_012245533.1","BIMP12514",100740271,"LOC100740271","uncharacterized protein LOC100740271 isoform X3"
"10539","XP_012245534.1","BIMP12514",100740271,"LOC100740271","uncharacterized protein LOC100740271 isoform X3"
"10540","XP_012245538.1","BIMP12542",100749303,"LOC100749303","uncharacterized protein LOC100749303 isoform X1"
"10541","XP_012245540.1","BIMP12526",100747223,"LOC100747223","glutathione S-transferase"
"10542","XP_012245541.1","BIMP12524",100747342,"LOC100747342","glutathione S-transferase-like"
"10543","XP_012245544.1","BIMP12535",100748139,"LOC100748139","succinate--CoA ligase"
"10544","XP_012245545.1","BIMP17123",100740324,"LOC100740324","lachesin-like isoform X1"
"10545","XP_012245546.1","BIMP12534",100747657,"LOC100747657","carcinine transporter"
"10546","XP_012245549.1","BIMP12521",100747779,"LOC100747779","carcinine transporter isoform X2"
"10547","XP_012245550.1","BIMP12521",100747779,"LOC100747779","carcinine transporter isoform X3"
"10548","XP_012245551.1","BIMP12515",100748737,"LOC100748737","zinc finger protein 1 isoform X2"
"10549","XP_012245552.1","BIMP17123",100740324,"LOC100740324","lachesin-like isoform X2"
"10550","XP_012245555.1","BIMP12543",100749654,"LOC100749654","guanosine-3\\',5\\'-bis(diphosphate) 3\\'-pyrophosphohydrolase MESH1"
"10551","XP_012245557.1","BIMP12531",100749891,"LOC100749891","glutamyl aminopeptidase isoform X2"
"10552","XP_012245558.1","BIMP12531",100749891,"LOC100749891","glutamyl aminopeptidase isoform X2"
"10553","XP_012245559.1","BIMP12531",100749891,"LOC100749891","glutamyl aminopeptidase isoform X2"
"10554","XP_012245561.1","BIMP12531",100749891,"LOC100749891","glutamyl aminopeptidase isoform X3"
"10555","XP_012245564.1","BIMP17123",100740324,"LOC100740324","lachesin-like isoform X4"
"10556","XP_012245567.1","BIMP25673",100740634,"LOC100740634","homeobox protein 2-like isoform X1"
"10557","XP_012245568.1","BIMP25673",100740634,"LOC100740634","homeobox protein 2-like isoform X2"
"10558","XP_012245569.1","BIMP25676",100740754,"LOC100740754","sodium-independent sulfate anion transporter"
"10559","XP_012245571.1","BIMP25672",100740960,"LOC100740960","uncharacterized protein LOC100740960 isoform X1"
"10560","XP_012245574.1","BIMP10026",100742720,"LOC100742720","integrator complex subunit 12-like"
"10561","XP_012245575.1","BIMP10013",100741439,"LOC100741439","vascular endothelial growth factor receptor 1 isoform X1"
"10562","XP_012245575.1","BIMP10014",100741439,"LOC100741439","vascular endothelial growth factor receptor 1 isoform X1"
"10563","XP_012245575.1","BIMP10011",100741439,"LOC100741439","vascular endothelial growth factor receptor 1 isoform X1"
"10564","XP_012245576.1","BIMP10014",100741439,"LOC100741439","vascular endothelial growth factor receptor 1 isoform X2"
"10565","XP_012245576.1","BIMP10011",100741439,"LOC100741439","vascular endothelial growth factor receptor 1 isoform X2"
"10566","XP_012245576.1","BIMP10013",100741439,"LOC100741439","vascular endothelial growth factor receptor 1 isoform X2"
"10567","XP_012245577.1","BIMP10013",100741439,"LOC100741439","vascular endothelial growth factor receptor 1 isoform X3"
"10568","XP_012245577.1","BIMP10011",100741439,"LOC100741439","vascular endothelial growth factor receptor 1 isoform X3"
"10569","XP_012245577.1","BIMP10014",100741439,"LOC100741439","vascular endothelial growth factor receptor 1 isoform X3"
"10570","XP_012245579.1","BIMP17117",100749942,"LOC100749942","Krueppel-like factor 7 isoform X1"
"10571","XP_012245583.1","BIMP10035",100741755,"LOC100741755","transcriptional enhancer factor TEF-1 isoform X1"
"10572","XP_012245586.1","BIMP10010",100742478,"LOC100742478","zinc transporter 1 isoform X3"
"10573","XP_012245589.1","BIMP10020",100742228,"LOC100742228","proteasome maturation protein"
